play,"놀다,… 놀이를 하다"
always,"항상, 늘, 언제까지나"
often,"자주,흔히,보통"
move,"움직이다, 바뀌다, 나아가다[진행되다]"
family,"가족, 가문, 자녀, 과"
never,결코[절대/한 번도] … 않다
small,"작은[적은], 어린, 사소한"
million,"100만, 수많은"
food,"식량, 음식[식품/먹이]"
every,"모든, 할 수 있는 한의"
last,"마지막의, 가장 최근의"
name,"이름, 평판, 이름이 알려진[평판 있는]"
point,"의견[주장], 요점["
water,"물, 물, 수면, 영해"
school,"학교, 방과, 학교, 학교[스쿨/학원]"
young,"어린,신생의"
bring,"가져오다, 가져다[제공해] 주다"
story,"이야기[말], 기사, 줄거리"
home,"집[가정], 주택, 고향"
speak,"이야기하다, 말하다[말을 하다]"
body,"몸, 몸통, 사체, 본체"
book,"책, 저서, 종이 묶음"
away,"떨어져[떨어진 곳에], 다른 데"
bad,"안 좋은, 나쁜, …을 잘 못하는"
week,"주, 일주일, 평일[주중]"
study,"공부[연구], 학업, -학"
leave,"떠나다[출발하다], 떠나다[그만두다]"
hour,"1시간, 시간, 시각, 오랜 시간"
write,"쓰다, 편지를 쓰다[, 쓰다[작성하다]"
large,큰
friend,"친구, 후원자, 우리 편"
run,"달리다[뛰다], 달리기를 하다"
stop,"멈추다, 끝나다, 막다"
turn,"돌다, 돌리다, 돌다[돌리다]"
real,"진짜의,현실적인,실제의"
hand,"손, 도움, 역할[영향력]"
remember,"기억하다[나다], 기억하다"
once,"한 번, 언젠가[한때/한동안]"
pay,"지불하다[내다/주다], 내다[납부하다/지불하다]"
course,"강의, 과정, 항로"
city,"도시, 시, 시민들"
few,"많지 않은[적은], 약간의[여러/몇]"
understand,"이해하다, 이해하다[알다]"
love,"사랑, 사랑[애정], 기쁨[즐거움]"
grow,커지다[늘어나다/증가하다]
spend,"쓰다[들이다], 보내다[들이다]"
head,"머리,고개,뇌리"
game,"게임, 게임[경기/시합]하기"
case,"경우, 실정, 사례, 사건"
early,"초, 빠른[이른]"
sure,"확신하는, 확실히[틀림없이] ~을 받을/~을 할"
read,"읽다[판독하다], 읽다"
together,"함께, 함께 붙도록[이어지도록/혼합되도록]"
hold,잡고[쥐고/들고/안고/받치고] 있다[가다/다니다]
meet,"만나다, 만나다[모이다]"
interest,"관심, 흥미로움, 관심사"
buy,"사다[사 주다], 사다"
car,"승용차, 차량, 차[칸]"
age,"나이, 시기, 시대, 나이"
must,"…해야 하다, 꼭 …해야 하다[…하기를 바라다]"
far,"멀리, …"
face,"얼굴, 얼굴 , 얼굴[사람]"
enough,필요한 만큼의[충분한] 유의어
lead,안내하다[이끌다/데리고 가다]
music,"음악, 음악, 악보"
join,"연결하다[되다], 합쳐지다"
until,"…, …이 되어 비로소"
eat,"먹다, 식사하다"
eye,"눈,시력,시각"
lose,"잃어버리다, 잃다[상실하다]"
win,"이기다, 따다하다], 얻다"
hard,"단단한, 어려운[힘든]"
side,"쪽[측], 쪽[편], 옆"
student,"대학생, 학생 , …에 관심이 아주 많은 사람"
team,"팀[단체], 팀[조]"
true,"사실인, 진짜의, 진정한"
under,"…아래에, 속에, …미만의[…이 못 되는]"
strong,"튼튼한, 강한, 강한[독한]"
teach,"학생들을 가르치다, 가르쳐[알려] 주다"
listen,"듣다, 듣다[귀 기울이다]"
set,"놓다, 하다, 배경[무대]을 설정하다"
night,밤
begin,"시작하다, 시작되다[하다]"
walk,"걷다, 특히 모두 사용"
watch,"보다, 지켜보다, 주시하다"
wear,입고[쓰고/끼고/신고/착용하고] 있다
pass,"지나가다, 나아가다[이동하다]"
month,"달, 월, 달"
sit,"앉다, 앉히다, 있다, 맡아 보다"
soon,"곧, 빨리"
build,"짓다, 만들어 내다, 커지다"
hope,"바라다, 희망[기대]하다"
space,"공간[자리], 공간[장소]"
easy,"쉬운, 편안한, 쉬운, 수월한[너그러운]"
break,"깨어지다, 고장나다, 찢다"
answer,"대답, 해답, 해결책, 대응책"
computer,컴퓨터
wrong,"틀린, 사람이) , 일이 있는"
ago,전에
house,"집, 식구들, 회사"
mother,"어미, 수녀원장"
thank,"감사하다, 고마워하다"
parent,"부모[어버이], 부모[조상]"
open,"열려 있는, 떠져[벌어져] 있는"
sell,"팔다[매각/매도하다], 팔리다"
along,"…을 , …을 따라 , …을 따라가는 길 어디에"
father,"아버지, 조상, 시조, 하느님 아버지"
die,"죽다, 사라지다, 서다"
Yeah,"응, 그래"
heart,"심장, 가슴 , 핵심"
yet,"아직, 이제[앞으로]"
animal,"짐승, 동물, 동물[존재]"
behind,"뒤에, 뒤떨어져[늦어]"
stand,"서다, 일어서다, 세우다"
fall,"떨어지다, 넘어[쓰러]지다"
plant,"식물, 공장, 시설, 첩자"
air,"공기, 공중, 하늘[공중]"
free,"자유로운, 통제[구속]를 받지 않는"
record,"기록, 음반, 전과"
news,"소식, 뉴스, 뉴스 , 뉴스감"
stay,"계속[그대로] 있다, 머물다[지내다/묵다]"
carry,"들고[데리고] 있다, 휴대하다"
war,전쟁
example,"예[사례/보기], 본보기"
follow,"따라가다[오다], 뒤를 잇다"
tree,나무
short,"짧은, 키가 작은, 얼마 안 되는"
plan,"계획, 계획[방안/방침]"
white,"흰, 백인의, 하얗게 질린"
half,"반, 전반[후반], 반 파인트"
kid,"아이, 새끼 염소, 염소 가죽"
across,"건너서, …쪽으로, 맞은편에"
close,"닫다[치다], 덮다[접다]"
baby,"아기, 막내, 아이 같은 사람"
light,"빛, 발광체, 불"
happy,"행복한[기쁜], 마음에 드는"
test,"시험[테스트/검사], 검사[테스트]"
full,"가득한, ~이 그득한[아주 많은]"
thousand,"천, 수천의, 천 단위대"
radio,"라디오, 라디오 , 무선"
low,"낮은, 바닥 가까이의, 낮은[많이 파인]"
movie,"영화, 영화관, 영화계"
send,"보내다, 전하다[보내다]"
return,"돌아오다[가다] , 돌려주다, 되살아나다[다시 시작되다]"
base,"맨 아래 부분, 기초[토대]"
office,"근무처, 사무실, …성"
market,"시장[장], 소비자 수"
wait,"기다리다, , 미뤄지다"
care,"돌봄, 조심, 걱정"
black,"검은, 어두운, 흑인의, 우유[크림]를 안 넣은"
doctor,"의사, 병원, 박사, 치과 의사"
dog,"개, 수컷, 그레이하운드"
model,"모형, 모델[디자인]"
fight,"싸우다[전투하다], 다투다[겨루다]"
street,"거리, 도로, 가"
enjoy,"즐기다, 즐거운 시간을 보내다"
chance,"가능성, 기회, 위험, 우연"
red,"빨간, 빨간, 빨간[붉은]색인"
cup,"컵, 한 잔 , 컵, 컵 모양의 것"
hair,"머리, 털"
matter,"문제[일/사안], ) 상황"
party,"정당, 파티, 단체, 당사자"
piece,"한 부분[조각], 조각"
sport,"스포츠[운동/경기], 친구[자네]"
class,"학급[반] , 수업, 수업[강좌]"
pretty,"매력적인, 예쁜, 귀여운"
forget,"잊다, 잊어버리다[잊고 안 하다/사다/가져오다 등]"
hundred,"백, 많은, 100 단위의 수"
line,"선[줄], 라인[선/줄]"
land,"육지, 땅[지역/지대]"
catch,"잡다[받다], 받다, 붙잡다"
kill,"죽이다, …을 끝장내다[없애다/망치다]"
cover,"씌우다[가리다], 덮다"
morning,"아침, 새벽, 매일 아침"
poor,"가난한, 가난한 사람들, 불쌍한"
step,"걸음, 걸음걸이, 걸음"
list,"리스트, 기우뚱함"
girl,"여자 아이, 딸, , 여자 친구"
lie,"누워 있다, 있다[계속 있다/있게 되다]"
rise,"오르다, 일어나다, 뜨다[솟다]"
song,"노래, 노래[지저귐]"
laugh,"웃다, 웃다[아주 좋은 입장에 있다]"
film,"영화, 필름, 얇은 막"
late,"늦은, 고인이 된"
visit,"방문하다[찾아가다], 체류하다"
throw,"던지다, 내던지다, 내동댕이치다"
act,"행동[행위/짓], 법률"
wonder,"궁금하다, …일지 모르겠다[…일까 생각하다]"
hot,"더운[뜨거운], 매운, 치열한[뜨거운/열띤]"
picture,"그림, 사진, 화면, 모습"
hit,"때리다[치다], …과 부딪치다[…을 들이받다]"
cut,"베다, 베어[잘라] 내다"
south,"남쪽, 남부[남쪽], 개발도상국들"
letter,"편지, 글자"
door,"문, 문간, 집"
pick,"고르다, 꺾다, 떼어[집어] 내다"
paper,"종이, 신문, 서류, 문서[증서]"
present,"현재의,현 …,있는"
drive,"몰다, 태워다 주다, 소유하다[쓰다]"
nice,"좋은, 좋은[친절한/다정한]"
foot,"발, 발이 …한[…개인]"
drink,"음료, 술 , 술자리"
store,"백화점, 가게[상점], 비축[저장]량"
please,"부디, 설마"
travel,여행하다[다니다/가다]
town,"보다 작은) , 도시[읍] 주민들"
summer,여름
sleep,자다
road,"도로[길], Road"
drop,"떨어지다[떨어뜨리다], 쓰러지다[쓰러질 것 같다]"
table,"식탁, 식탁[테이블/탁자]에 모여 앉은 사람들"
green,"녹색[초록빛]의, 파란[푸른]"
fire,"불, 화재, 불, 난로"
police,경찰
page,"페이지, 보조 견습생"
video,"비디오, 녹화"
ready,"준비가 , 준비가 된[완성된]"
sea,"바다, -해, 바다"
bank,"은행, 판돈[물주], 많이 모인 것"
fast,"빠른, 빨리 하는"
practice,"실행, 관행, 다반사, 연습"
sorry,"안된, 유감스러운, 후회하는"
star,"별,항성"
rest,"휴식, 자유, 죽음"
window,"창문, 진열장 유리, 창"
draw,"그리다, 끌어당기다[뽑아내다]"
coffee,"커피, 커피 한 잔, 커피색"
rich,"부유한, 부자들, 부유한"
fly,"날다, 비행[운항]하다"
safe,"안전한, 무사한"
deep,"깊은, 깊이가 …인"
cold,"추운, 찬, 냉정한, 차가운"
camera,카메라
room,"방, 객실[방], 자리[공간]"
afraid,"두려워[무서워]하는, 걱정하는[불안한]"
bed,"침대, 바닥, 장소, ~을 깐 바닥"
shop,"가게, ~점[점포], 쇼핑"
field,"들판,밭,사육장"
sign,"징후, 표지판, 몸짓, 부호"
among,"…에 둘러싸인, …중[사이]에"
sing,노래하다
mouth,"입, 입, 입구, 어귀"
size,"크기, 치수, 아교풀"
miss,"놓치다[빗나가다], 이해[파악]하지 못하다"
floor,"바닥, 층"
welcome,"맞이하다, 환영하다, 기꺼이 받아들이다"
stick,"찌르다[박다], 붙이다[붙다]"
famous,유명한
restaurant,"식당, 레스토랑"
middle,"중앙, 허리"
sister,"언니, 자매, 수간호사"
pull,"끌다, 뽑다[빼다/잡아당기다]"
push,"밀다, 밀어붙이다, 밀고 나가다"
leg,"다리, 구간"
dream,꿈
glass,"유리, 잔, 한 잔, 유리 제품[그릇]"
date,"날짜, 시기[때/시대]"
arrive,"도착하다, 배달되다, 도래하다"
north,북쪽에 있는
fill,"채우다[메우다], 때우다[메우다]"
note,"메모, 편지, 주석, 필기"
card,"두꺼운 종이, 카드"
finish,끝내다[마치다/마무리짓다]
ice,"얼음, 얼음판[빙상], 아이스크림"
dark,"어두운, 짙은, 검은, 갈색[검은색]의"
smile,"웃다, 웃으며 말하다"
bag,"봉투[봉지], 가방, 봉지[자루 등의]"
cook,"요리하다, 요리[준비]되다"
